# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 5M of event 'cycles:u'
# Event count (approx.): 4720044081536
#
# Overhead  Command         Shared Object          Symbol                                  
# ........  ..............  .....................  ........................................
#
     0.00%  benchmark-blas  libblis.so             [.] bli_l3_thrinfo_grow
     0.00%  benchmark-blas  [unknown]              [k] 0xffffffff81049106
     0.00%  benchmark-blas  [unknown]              [k] 0xffffffff8118a9d7
     0.00%  benchmark-blas  [unknown]              [k] 0xffffffff8110f2c7
     0.00%  benchmark-blas  libblis.so             [.] bli_error_checking_is_enabled@plt
     0.00%  benchmark-blas  [unknown]              [k] 0xffffffff818019d0
     0.00%  benchmark-blas  [unknown]              [k] 0xffffffff817eb42c
     0.00%  benchmark-blas  [unknown]              [k] 0xffffffff810490c5
     0.00%  benchmark-blas  [unknown]              [k] 0xffffffff8110f2d7
     0.00%  benchmark-blas  libblis.so             [.] bli_check_valid_3x1_subpart
     0.00%  benchmark-blas  libblis.so             [.] bli_l3_thrinfo_create
     0.00%  benchmark-blas  [unknown]              [k] 0xffffffff81801224
     0.00%  benchmark-blas  [unknown]              [k] 0xffffffff81801998
     0.00%  benchmark-blas  [unknown]              [k] 0xffffffff81275d10
     0.00%  benchmark-blas  [unknown]              [k] 0xffffffff817eaccf
     0.00%  benchmark-blas  [unknown]              [k] 0xffffffff8111d9bd
     0.00%  benchmark-blas  ld-2.31.so             [.] do_lookup_x
     0.00%  benchmark-blas  [unknown]              [k] 0xffffffff812943f0
     0.00%  benchmark-blas  libblis.so             [.] bli_pool_checkin_block
     0.00%  benchmark-blas  [unknown]              [k] 0xffffffff810e5ea0
     0.00%  benchmark-blas  [unknown]              [k] 0xffffffff8110c1f7
     0.00%  benchmark-blas  [unknown]              [k] 0xffffffff8101cdf0
     0.00%  benchmark-blas  [unknown]              [k] 0xffffffff8110c210
     0.00%  benchmark-blas  [unknown]              [k] 0xffffffff810ea0c1
     0.00%  benchmark-blas  [unknown]              [k] 0xffffffff8110b58e
     0.00%  benchmark-blas  [unknown]              [k] 0xffffffff8110f33b
     0.00%  benchmark-blas  [unknown]              [k] 0xffffffff8110c1c3
     0.00%  benchmark-blas  [unknown]              [k] 0xffffffff816423da
     0.00%  benchmark-blas  [unknown]              [k] 0xffffffff81461643
     0.00%  benchmark-blas  [unknown]              [k] 0xffffffff8118b7a7
     0.00%  benchmark-blas  [unknown]              [k] 0xffffffffa0460755
     0.00%  benchmark-blas  [unknown]              [k] 0xffffffff81025740
     0.00%  benchmark-blas  [unknown]              [k] 0xffffffff8110c22c
     0.00%  benchmark-blas  [unknown]              [k] 0xffffffff810fdc01
     0.00%  benchmark-blas  libblis.so             [.] bli_obj_create_without_buffer@plt
     0.00%  benchmark-blas  [unknown]              [k] 0xffffffff8110ab2c
     0.00%  benchmark-blas  [unknown]              [k] 0xffffffff8110c1de
     0.00%  benchmark-blas  [unknown]              [k] 0xffffffff817d8ac1
     0.00%  benchmark-blas  libc-2.31.so           [.] free
     0.00%  benchmark-blas  [unknown]              [k] 0xffffffff817daefd
     0.00%  benchmark-blas  libblis.so             [.] bli_thread_range_ndim
     0.00%  benchmark-blas  [unknown]              [k] 0xffffffff810fda88
     0.00%  benchmark-blas  libblis.so             [.] bli_acquire_mpart_l2r_check
     0.00%  benchmark-blas  [unknown]              [k] 0xffffffff810490ed
     0.00%  benchmark-blas  [unknown]              [k] 0xffffffff81120949
     0.00%  benchmark-blas  [unknown]              [k] 0xffffffff81801990
     0.00%  benchmark-blas  [unknown]              [k] 0xffffffff81123963
     0.00%  benchmark-blas  libgomp.so.1.0.0       [.] omp_get_thread_num
     0.00%  benchmark-blas  libblis.so             [.] bli_obj_scalar_reset
     0.00%  benchmark-blas  [unknown]              [k] 0xffffffff810dc409
     0.00%  benchmark-blas  [unknown]              [k] 0xffffffff8118a885
     0.00%  benchmark-blas  ld-2.31.so             [.] _dl_lookup_symbol_x
     0.00%  benchmark-blas  [unknown]              [k] 0xffffffff81291cbe
     0.00%  benchmark-blas  [unknown]              [k] 0xffffffff8146f0a2
     0.00%  benchmark-blas  [unknown]              [k] 0xffffffff8111da95
     0.00%  benchmark-blas  [unknown]              [k] 0xffffffff8111dbe5
     0.00%  benchmark-blas  libc-2.31.so           [.] clock_gettime
     0.00%  benchmark-blas  [unknown]              [k] 0xffffffff81232dda
     0.00%  benchmark-blas  [unknown]              [k] 0xffffffff8105ea32
     0.00%  benchmark-blas  [unknown]              [k] 0xffffffff81255562
     0.00%  benchmark-blas  [unknown]              [k] 0xffffffff81253fb0
     0.00%  benchmark-blas  [unknown]              [k] 0xffffffff817d9027
     0.00%  benchmark-blas  [unknown]              [k] 0xffffffff8113db68
     0.00%  benchmark-blas  [unknown]              [k] 0xffffffff8116bed9
     0.00%  benchmark-blas  [unknown]              [k] 0xffffffff8111daa6
     0.00%  benchmark-blas  [unknown]              [k] 0xffffffff8111fc5d
     0.00%  benchmark-blas  [unknown]              [k] 0xffffffffa0316009
     0.00%  benchmark-blas  [unknown]              [k] 0xffffffff8101cdf9
     0.00%  benchmark-blas  [unknown]              [k] 0xffffffff81275867
     0.00%  benchmark-blas  libc-2.31.so           [.] _IO_fwrite
     0.00%  benchmark-blas  libc-2.31.so           [.] __strlen_avx2
     0.00%  benchmark-blas  [unknown]              [k] 0xffffffff81244407
     0.00%  benchmark-blas  [unknown]              [k] 0xffffffff810dcf8b
     0.00%  benchmark-blas  [unknown]              [k] 0xffffffff8112105b
     0.00%  benchmark-blas  [unknown]              [k] 0xffffffff810ea0b0
     0.00%  benchmark-blas  [unknown]              [k] 0xffffffff817db172
     0.00%  benchmark-blas  [unknown]              [k] 0xffffffff8116c3d5
     0.00%  benchmark-blas  [unknown]              [k] 0xffffffff811241b0
     0.00%  benchmark-blas  [unknown]              [k] 0xffffffff8180122f
     0.00%  benchmark-blas  [unknown]              [k] 0xffffffff81465ab2
     0.00%  benchmark-blas  [unknown]              [k] 0xffffffff810b5552
     0.00%  benchmark-blas  [unknown]              [k] 0xffffffff810b2590
     0.00%  benchmark-blas  [unknown]              [k] 0xffffffff8101cdd6
     0.00%  benchmark-blas  [unknown]              [k] 0xffffffff810b8147
     0.00%  benchmark-blas  [unknown]              [k] 0xffffffff8104c84b
     0.00%  benchmark-blas  [unknown]              [k] 0xffffffff810e6068
     0.00%  benchmark-blas  [unknown]              [k] 0xffffffff8104fd70
     0.00%  benchmark-blas  [unknown]              [k] 0xffffffff810b87d3
     0.00%  benchmark-blas  [unknown]              [k] 0xffffffff810ea747
     0.00%  benchmark-blas  [unknown]              [k] 0xffffffff8104fd6d
     0.00%  benchmark-blas  [unknown]              [k] 0xffffffff81461e68
     0.00%  benchmark-blas  [unknown]              [k] 0xffffffff8155b0de
     0.00%  benchmark-blas  [unknown]              [k] 0xffffffff81801233
     0.00%  benchmark-blas  [unknown]              [k] 0xffffffff810b0ec1
     0.00%  benchmark-blas  [unknown]              [k] 0xffffffff8110b57b
     0.00%  benchmark-blas  [unknown]              [k] 0xffffffff81801239
     0.00%  benchmark-blas  libc-2.31.so           [.] __uselocale
     0.00%  benchmark-blas  [unknown]              [k] 0xffffffff8110f37c
     0.00%  benchmark-blas  [unknown]              [k] 0xffffffff810eae90
     0.00%  benchmark-blas  [unknown]              [k] 0xffffffff8110b7f1
     0.00%  benchmark-blas  [unknown]              [k] 0xffffffff8107aef4
     0.00%  benchmark-blas  [unknown]              [k] 0xffffffff817d9012
     0.00%  benchmark-blas  [unknown]              [k] 0xffffffff810b0d4f
     0.00%  benchmark-blas  [unknown]              [k] 0xffffffff810a22e0
     0.00%  benchmark-blas  [unknown]              [k] 0xffffffff81801099
     0.00%  benchmark-blas  [unknown]              [k] 0xffffffff81800002
     0.00%  benchmark-blas  libc-2.31.so           [.] sysmalloc
     0.00%  benchmark-blas  [unknown]              [k] 0xffffffff810eae07
     0.00%  benchmark-blas  [unknown]              [k] 0xffffffffa0316490
     0.00%  benchmark-blas  libc-2.31.so           [.] _IO_fflush
     0.00%  benchmark-blas  [unknown]              [k] 0xffffffff8180122d
     0.00%  benchmark-blas  [unknown]              [k] 0xffffffff8164a375
     0.00%  benchmark-blas  libpthread-2.31.so     [.] __lll_lock_wait
     0.00%  benchmark-blas  [unknown]              [k] 0xffffffff810e6044
     0.00%  benchmark-blas  [unknown]              [k] 0xffffffff8110ab89
     0.00%  benchmark-blas  [unknown]              [k] 0xffffffff8107af40
     0.00%  benchmark-blas  [unknown]              [k] 0xffffffff810a22f3
     0.00%  benchmark-blas  [unknown]              [k] 0xffffffff8111dc0a
     0.00%  benchmark-blas  [unknown]              [k] 0xffffffff8110c225
     0.00%  benchmark-blas  [unknown]              [k] 0xffffffff816423b0
     0.00%  benchmark-blas  [unknown]              [k] 0xffffffff817d9017
     0.00%  benchmark-blas  [unknown]              [k] 0xffffffff8118a9eb
     0.00%  benchmark-blas  [unknown]              [k] 0xffffffff812555b0
     0.00%  benchmark-blas  [unknown]              [k] 0xffffffff81025749
     0.00%  benchmark-blas  [unknown]              [k] 0xffffffff817eacbb
     0.00%  benchmark-blas  [unknown]              [k] 0xffffffff817dae12
