# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 6M of event 'cycles:u'
# Event count (approx.): 5575767895953
#
# Overhead  Command         Shared Object             Symbol                                                                                                                                                            
# ........  ..............  ........................  ..................................................................................................................................................................
#
     0.00%  benchmark-blas  [unknown]                 [k] 0xffffffff81103730
     0.00%  benchmark-blas  [unknown]                 [k] 0xffffffff810adf36
     0.00%  benchmark-blas  [unknown]                 [k] 0xffffffff810adf52
     0.00%  benchmark-blas  [unknown]                 [k] 0xffffffff8113db18
     0.00%  benchmark-blas  [unknown]                 [k] 0xffffffff81103782
     0.00%  benchmark-blas  [unknown]                 [k] 0xffffffff81103074
     0.00%  benchmark-blas  [unknown]                 [k] 0xffffffff81801223
     0.00%  benchmark-blas  [unknown]                 [k] 0xffffffff818001d1
     0.00%  benchmark-blas  [unknown]                 [k] 0xffffffff810ba387
     0.00%  benchmark-blas  [unknown]                 [k] 0xffffffff810adf95
     0.00%  benchmark-blas  [unknown]                 [k] 0xffffffff810b6a55
     0.00%  benchmark-blas  [unknown]                 [k] 0xffffffff810b6a8e
     0.00%  benchmark-blas  [unknown]                 [k] 0xffffffff818001f0
     0.00%  benchmark-blas  [unknown]                 [k] 0xffffffff810ac902
     0.00%  benchmark-blas  [unknown]                 [k] 0xffffffff81025743
     0.00%  benchmark-blas  [unknown]                 [k] 0xffffffff817e471d
     0.00%  benchmark-blas  libmkl_intel_thread.so.2  [.] do_work
     0.00%  benchmark-blas  [unknown]                 [k] 0xffffffff81103748
     0.00%  benchmark-blas  [unknown]                 [k] 0xffffffff817e3ead
     0.00%  benchmark-blas  [unknown]                 [k] 0xffffffff810b6a75
     0.00%  benchmark-blas  libiomp5.so               [.] __kmpc_critical_with_hint
     0.00%  benchmark-blas  [unknown]                 [k] 0xffffffff8180006b
     0.00%  benchmark-blas  [unknown]                 [k] 0xffffffff810ba69e
     0.00%  benchmark-blas  [unknown]                 [k] 0xffffffff810ba687
     0.00%  benchmark-blas  [unknown]                 [k] 0xffffffff817db676
     0.00%  benchmark-blas  [unknown]                 [k] 0xffffffff817e3e04
     0.00%  benchmark-blas  [unknown]                 [k] 0xffffffff810ba3e7
     0.00%  benchmark-blas  [unknown]                 [k] 0xffffffff818000de
     0.00%  benchmark-blas  [unknown]                 [k] 0xffffffff810c4440
     0.00%  benchmark-blas  [unknown]                 [k] 0xffffffff810adf8e
     0.00%  benchmark-blas  [unknown]                 [k] 0xffffffff817e3df3
     0.00%  benchmark-blas  [unknown]                 [k] 0xffffffff817e3e0c
     0.00%  benchmark-blas  [unknown]                 [k] 0xffffffff817e3ec5
     0.00%  benchmark-blas  [unknown]                 [k] 0xffffffff810fd14a
     0.00%  benchmark-blas  [unknown]                 [k] 0xffffffff81800073
     0.00%  benchmark-blas  [unknown]                 [k] 0xffffffff817db78e
     0.00%  benchmark-blas  [unknown]                 [k] 0xffffffff810d85b3
     0.00%  benchmark-blas  [unknown]                 [k] 0xffffffff817e3dbe
     0.00%  benchmark-blas  [unknown]                 [k] 0xffffffff817eac90
     0.00%  benchmark-blas  [unknown]                 [k] 0xffffffff810b67a3
     0.00%  benchmark-blas  [unknown]                 [k] 0xffffffff817d7f3e
     0.00%  benchmark-blas  [unknown]                 [k] 0xffffffff810b678c
     0.00%  benchmark-blas  [unknown]                 [k] 0xffffffff810b6793
     0.00%  benchmark-blas  [unknown]                 [k] 0xffffffff810b678f
     0.00%  benchmark-blas  [unknown]                 [k] 0xffffffff8118aa6b
     0.00%  benchmark-blas  [unknown]                 [k] 0xffffffff8110306e
     0.00%  benchmark-blas  [unknown]                 [k] 0xffffffff810faded
     0.00%  benchmark-blas  [unknown]                 [k] 0xffffffff810ba3f4
     0.00%  benchmark-blas  [unknown]                 [k] 0xffffffff8118a86e
     0.00%  benchmark-blas  [unknown]                 [k] 0xffffffff810d85bf
     0.00%  benchmark-blas  [unknown]                 [k] 0xffffffff8118a9ef
     0.00%  benchmark-blas  [unknown]                 [k] 0xffffffff810ac929
     0.00%  benchmark-blas  [unknown]                 [k] 0xffffffff810ba3d0
     0.00%  benchmark-blas  [unknown]                 [k] 0xffffffff810ac927
     0.00%  benchmark-blas  [unknown]                 [k] 0xffffffff817db77c
     0.00%  benchmark-blas  [unknown]                 [k] 0xffffffff810adf30
     0.00%  benchmark-blas  [unknown]                 [k] 0xffffffff818001e8
     0.00%  benchmark-blas  [unknown]                 [k] 0xffffffff8118a947
     0.00%  benchmark-blas  [unknown]                 [k] 0xffffffff810ac94c
     0.00%  benchmark-blas  [unknown]                 [k] 0xffffffff810adf87
     0.00%  benchmark-blas  [unknown]                 [k] 0xffffffff818000e8
     0.00%  benchmark-blas  [unknown]                 [k] 0xffffffff8110377e
     0.00%  benchmark-blas  [unknown]                 [k] 0xffffffff81800188
     0.00%  benchmark-blas  [unknown]                 [k] 0xffffffff817db684
     0.00%  benchmark-blas  [unknown]                 [k] 0xffffffff810b6797
     0.00%  benchmark-blas  [unknown]                 [k] 0xffffffff81026578
     0.00%  benchmark-blas  [unknown]                 [k] 0xffffffff8118a93b
     0.00%  benchmark-blas  [unknown]                 [k] 0xffffffff8113d87c
     0.00%  benchmark-blas  [unknown]                 [k] 0xffffffff817e46d2
     0.00%  benchmark-blas  [unknown]                 [k] 0xffffffff817eacda
     0.00%  benchmark-blas  [unknown]                 [k] 0xffffffff810adf39
     0.00%  benchmark-blas  [unknown]                 [k] 0xffffffff8118a92f
