# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 5M of event 'cycles:u'
# Event count (approx.): 4481893855902
#
# Overhead  Command         Shared Object                    Symbol                           
# ........  ..............  ...............................  .................................
#
     0.00%  benchmark-blas  [unknown]                        [k] 0xffffffff8110c1c3
     0.00%  benchmark-blas  [unknown]                        [k] 0xffffffff817d9027
     0.00%  benchmark-blas  [unknown]                        [k] 0xffffffff817e3d98
     0.00%  benchmark-blas  [unknown]                        [k] 0xffffffff8102574c
     0.00%  benchmark-blas  [unknown]                        [k] 0xffffffff8104c845
     0.00%  benchmark-blas  [unknown]                        [k] 0xffffffff810b2d23
     0.00%  benchmark-blas  [unknown]                        [k] 0xffffffff8107aed0
     0.00%  benchmark-blas  [unknown]                        [k] 0xffffffff81801226
     0.00%  benchmark-blas  [unknown]                        [k] 0xffffffff8164a3ae
     0.00%  benchmark-blas  [unknown]                        [k] 0xffffffff81800000
     0.00%  benchmark-blas  [unknown]                        [k] 0xffffffff810eae41
     0.00%  benchmark-blas  [unknown]                        [k] 0xffffffff817d8ac1
     0.00%  benchmark-blas  [unknown]                        [k] 0xffffffff81801460
     0.00%  benchmark-blas  [unknown]                        [k] 0xffffffff812943c5
     0.00%  benchmark-blas  [unknown]                        [k] 0xffffffff81800ea3
     0.00%  benchmark-blas  [unknown]                        [k] 0xffffffff812bbe91
     0.00%  benchmark-blas  [unknown]                        [k] 0xffffffff81232dda
     0.00%  benchmark-blas  ld-2.31.so                       [.] _dl_relocate_object
     0.00%  benchmark-blas  [unknown]                        [k] 0xffffffff8105e878
     0.00%  benchmark-blas  [unknown]                        [k] 0xffffffff81255562
     0.00%  benchmark-blas  [unknown]                        [k] 0xffffffff8118a93b
     0.00%  benchmark-blas  [unknown]                        [k] 0xffffffff81294550
     0.00%  benchmark-blas  [unknown]                        [k] 0xffffffff81275d10
     0.00%  benchmark-blas  [unknown]                        [k] 0xffffffff810dc409
     0.00%  benchmark-blas  [unknown]                        [k] 0xffffffff817db172
     0.00%  benchmark-blas  [unknown]                        [k] 0xffffffff810490e0
     0.00%  benchmark-blas  [unknown]                        [k] 0xffffffff81801990
     0.00%  benchmark-blas  [unknown]                        [k] 0xffffffff8110b89c
     0.00%  benchmark-blas  [unknown]                        [k] 0xffffffff8110e74b
