# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 3M of event 'cycles:u'
# Event count (approx.): 4982579087577
#
# Overhead  Command         Shared Object             Symbol                                                                                 
# ........  ..............  ........................  .......................................................................................
#
     0.00%  benchmark-blas  [unknown]                 [k] 0xffffffff810b7cce
     0.00%  benchmark-blas  [unknown]                 [k] 0xffffffff810b6a55
     0.00%  benchmark-blas  [unknown]                 [k] 0xffffffff8118a87a
     0.00%  benchmark-blas  [unknown]                 [k] 0xffffffff810ba37f
     0.00%  benchmark-blas  [unknown]                 [k] 0xffffffff817d7f32
     0.00%  benchmark-blas  [unknown]                 [k] 0xffffffff810b6ab0
     0.00%  benchmark-blas  [unknown]                 [k] 0xffffffff810b6abe
     0.00%  benchmark-blas  [unknown]                 [k] 0xffffffff810adf36
     0.00%  benchmark-blas  [unknown]                 [k] 0xffffffff817e4729
     0.00%  benchmark-blas  [unknown]                 [k] 0xffffffff810ba3d8
     0.00%  benchmark-blas  [unknown]                 [k] 0xffffffff817e3ead
     0.00%  benchmark-blas  [unknown]                 [k] 0xffffffff810d85ca
     0.00%  benchmark-blas  [unknown]                 [k] 0xffffffff817db671
     0.00%  benchmark-blas  [unknown]                 [k] 0xffffffff810ac8fb
     0.00%  benchmark-blas  [unknown]                 [k] 0xffffffff810ac902
     0.00%  benchmark-blas  [unknown]                 [k] 0xffffffff8118a934
     0.00%  benchmark-blas  [unknown]                 [k] 0xffffffff810adf8e
     0.00%  benchmark-blas  [unknown]                 [k] 0xffffffff810b6aad
     0.00%  benchmark-blas  [unknown]                 [k] 0xffffffff817e471d
     0.00%  benchmark-blas  [unknown]                 [k] 0xffffffff810ba446
     0.00%  benchmark-blas  [unknown]                 [k] 0xffffffff810adf52
     0.00%  benchmark-blas  [unknown]                 [k] 0xffffffff810ba3f4
     0.00%  benchmark-blas  [unknown]                 [k] 0xffffffff810b678f
     0.00%  benchmark-blas  [unknown]                 [k] 0xffffffff817db676
     0.00%  benchmark-blas  [unknown]                 [k] 0xffffffff810adfa2
     0.00%  benchmark-blas  [unknown]                 [k] 0xffffffff810adf95
     0.00%  benchmark-blas  [unknown]                 [k] 0xffffffff810b6a8e
     0.00%  benchmark-blas  [unknown]                 [k] 0xffffffff810adf30
     0.00%  benchmark-blas  [unknown]                 [k] 0xffffffff810b6a75
     0.00%  benchmark-blas  [unknown]                 [k] 0xffffffff8113db18
     0.00%  benchmark-blas  [unknown]                 [k] 0xffffffff81103730
     0.00%  benchmark-blas  [unknown]                 [k] 0xffffffff817db650
     0.00%  benchmark-blas  [unknown]                 [k] 0xffffffff817e3dff
     0.00%  benchmark-blas  [unknown]                 [k] 0xffffffff817e3dbe
     0.00%  benchmark-blas  [unknown]                 [k] 0xffffffff810adf5a
     0.00%  benchmark-blas  [unknown]                 [k] 0xffffffff810fd14a
     0.00%  benchmark-blas  [unknown]                 [k] 0xffffffff817e3e0c
     0.00%  benchmark-blas  [unknown]                 [k] 0xffffffff810faded
     0.00%  benchmark-blas  [unknown]                 [k] 0xffffffff8118a9ef
     0.00%  benchmark-blas  [unknown]                 [k] 0xffffffff817e43d0
     0.00%  benchmark-blas  [unknown]                 [k] 0xffffffff810ba3e7
     0.00%  benchmark-blas  [unknown]                 [k] 0xffffffff810ba69e
     0.00%  benchmark-blas  [unknown]                 [k] 0xffffffff810b6793
     0.00%  benchmark-blas  [unknown]                 [k] 0xffffffff810d85b3
     0.00%  benchmark-blas  [unknown]                 [k] 0xffffffff8180006b
     0.00%  benchmark-blas  [unknown]                 [k] 0xffffffff810ac94c
     0.00%  benchmark-blas  [unknown]                 [k] 0xffffffff810ba687
     0.00%  benchmark-blas  [unknown]                 [k] 0xffffffff8118aa6b
     0.00%  benchmark-blas  [unknown]                 [k] 0xffffffff810ba3d0
     0.00%  benchmark-blas  [unknown]                 [k] 0xffffffff810ac927
     0.00%  benchmark-blas  [unknown]                 [k] 0xffffffff810b67a3
     0.00%  benchmark-blas  [unknown]                 [k] 0xffffffff817e3e04
     0.00%  benchmark-blas  [unknown]                 [k] 0xffffffff810b678c
     0.00%  benchmark-blas  [unknown]                 [k] 0xffffffff810c4440
     0.00%  benchmark-blas  [unknown]                 [k] 0xffffffff81103782
     0.00%  benchmark-blas  [unknown]                 [k] 0xffffffff817db78e
     0.00%  benchmark-blas  [unknown]                 [k] 0xffffffff81103074
     0.00%  benchmark-blas  [unknown]                 [k] 0xffffffff817eac90
     0.00%  benchmark-blas  [unknown]                 [k] 0xffffffff8118a86e
     0.00%  benchmark-blas  [unknown]                 [k] 0xffffffff817e3ec5
     0.00%  benchmark-blas  [unknown]                 [k] 0xffffffff81026578
     0.00%  benchmark-blas  [unknown]                 [k] 0xffffffff810adf87
     0.00%  benchmark-blas  [unknown]                 [k] 0xffffffff817d7f3e
     0.00%  benchmark-blas  [unknown]                 [k] 0xffffffff817e3df3
     0.00%  benchmark-blas  [unknown]                 [k] 0xffffffff81103748
     0.00%  benchmark-blas  [unknown]                 [k] 0xffffffff81800073
     0.00%  benchmark-blas  [unknown]                 [k] 0xffffffff810adf39
     0.00%  benchmark-blas  [unknown]                 [k] 0xffffffff817db684
     0.00%  benchmark-blas  [unknown]                 [k] 0xffffffff8110306e
     0.00%  benchmark-blas  [unknown]                 [k] 0xffffffff818000de
     0.00%  benchmark-blas  [unknown]                 [k] 0xffffffff810c4351
     0.00%  benchmark-blas  [unknown]                 [k] 0xffffffff8110f2db
     0.00%  benchmark-blas  [unknown]                 [k] 0xffffffff8118a947
     0.00%  benchmark-blas  [unknown]                 [k] 0xffffffff817db77c
     0.00%  benchmark-blas  [unknown]                 [k] 0xffffffff817e46d2
     0.00%  benchmark-blas  [unknown]                 [k] 0xffffffff8110377e
     0.00%  benchmark-blas  [unknown]                 [k] 0xffffffff818001d1
     0.00%  benchmark-blas  [unknown]                 [k] 0xffffffff810d85bf
     0.00%  benchmark-blas  [unknown]                 [k] 0xffffffff81800188
     0.00%  benchmark-blas  [unknown]                 [k] 0xffffffff8113d87c
     0.00%  benchmark-blas  [unknown]                 [k] 0xffffffff810ac950
     0.00%  benchmark-blas  [unknown]                 [k] 0xffffffff8118a93b
     0.00%  benchmark-blas  [unknown]                 [k] 0xffffffff810ac929
     0.00%  benchmark-blas  [unknown]                 [k] 0xffffffff817e41d3
     0.00%  benchmark-blas  [unknown]                 [k] 0xffffffff81025743
     0.00%  benchmark-blas  [unknown]                 [k] 0xffffffff810ba6ef
     0.00%  benchmark-blas  [unknown]                 [k] 0xffffffff817e3ed0
     0.00%  benchmark-blas  [unknown]                 [k] 0xffffffff81026574
     0.00%  benchmark-blas  [unknown]                 [k] 0xffffffff8118a85b
     0.00%  benchmark-blas  [unknown]                 [k] 0xffffffff810fd120
     0.00%  benchmark-blas  [unknown]                 [k] 0xffffffff818000e8
