# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 4M of event 'cycles:u'
# Event count (approx.): 3514307423429
#
# Overhead  Command         Shared Object             Symbol                                                                                                    
# ........  ..............  ........................  ..........................................................................................................
#
     0.00%  benchmark-blas  [unknown]                 [k] 0xffffffff817db172
     0.00%  benchmark-blas  [unknown]                 [k] 0xffffffff81275dbe
     0.00%  benchmark-blas  ld-2.31.so                [.] check_match
     0.00%  benchmark-blas  [unknown]                 [k] 0xffffffff81800ea3
     0.00%  benchmark-blas  [unknown]                 [k] 0xffffffff812555a2
     0.00%  benchmark-blas  [unknown]                 [k] 0xffffffff812945f5
     0.00%  benchmark-blas  [unknown]                 [k] 0xffffffff817db17f
     0.00%  benchmark-blas  [unknown]                 [k] 0xffffffff8105e94e
     0.00%  benchmark-blas  [unknown]                 [k] 0xffffffff81232dd6
     0.00%  benchmark-blas  [unknown]                 [k] 0xffffffff817db18f
     0.00%  benchmark-blas  [unknown]                 [k] 0xffffffff8105ea32
     0.00%  benchmark-blas  ld-2.31.so                [.] _dl_relocate_object
     0.00%  benchmark-blas  [unknown]                 [k] 0xffffffff81273a09
     0.00%  benchmark-blas  [unknown]                 [k] 0xffffffff81279160
     0.00%  benchmark-blas  [unknown]                 [k] 0xffffffff8118a86e
     0.00%  benchmark-blas  [unknown]                 [k] 0xffffffff812752ef
     0.00%  benchmark-blas  [unknown]                 [k] 0xffffffff81800eb2
     0.00%  benchmark-blas  [unknown]                 [k] 0xffffffff81255562
     0.00%  benchmark-blas  [unknown]                 [k] 0xffffffff812ab10b
     0.00%  benchmark-blas  [unknown]                 [k] 0xffffffff812943ce
     0.00%  benchmark-blas  [unknown]                 [k] 0xffffffff812bfd1c
     0.00%  benchmark-blas  [unknown]                 [k] 0xffffffff8127293d
     0.00%  benchmark-blas  [unknown]                 [k] 0xffffffff812793b9
     0.00%  benchmark-blas  [unknown]                 [k] 0xffffffff81279262
     0.00%  benchmark-blas  [unknown]                 [k] 0xffffffff817db867
     0.00%  benchmark-blas  [unknown]                 [k] 0xffffffff81275b03
     0.00%  benchmark-blas  [unknown]                 [k] 0xffffffff81275d2b
     0.00%  benchmark-blas  [unknown]                 [k] 0xffffffff81800ee3
     0.00%  benchmark-blas  [unknown]                 [k] 0xffffffff812aafc8
     0.00%  benchmark-blas  [unknown]                 [k] 0xffffffff81275db2
     0.00%  benchmark-blas  [unknown]                 [k] 0xffffffff8105e8a2
     0.00%  benchmark-blas  [unknown]                 [k] 0xffffffff812943c5
     0.00%  benchmark-blas  [unknown]                 [k] 0xffffffff810b158e
     0.00%  benchmark-blas  [unknown]                 [k] 0xffffffff81275b73
     0.00%  benchmark-blas  [unknown]                 [k] 0xffffffff81279181
     0.00%  benchmark-blas  [unknown]                 [k] 0xffffffff812943f0
     0.00%  benchmark-blas  [unknown]                 [k] 0xffffffff812793b7
